date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:12:36	23155/23155	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20Dec%202019%2021:12:36%20GMT	https://www.cs.umb.edu:443/people/One_Lee/	/home/d/websites/UMBCS/www.cs.umb.edu_443/people/One_Lee/index.html	(from https://www.cs.umb.edu:443/academics/course_schedule/)
16:12:36	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Dec%202019%2021:12:36%20GMT	https://www.cs.umb.edu:443/people/Simon_Tran	/home/d/websites/UMBCS/www.cs.umb.edu_443/people/Simon_Tran.59.delayed	(from https://www.cs.umb.edu:443/academics/course_schedule/)
16:12:37	22392/22392	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20Dec%202019%2021:12:37%20GMT	https://www.cs.umb.edu:443/people/Simon_Tran/	/home/d/websites/UMBCS/www.cs.umb.edu_443/people/Simon_Tran/index.html	(from https://www.cs.umb.edu:443/academics/course_schedule/)
16:12:37	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Dec%202019%2021:12:37%20GMT	https://www.cs.umb.edu:443/people/Shan_Jiang	/home/d/websites/UMBCS/www.cs.umb.edu_443/people/Shan_Jiang	(from https://www.cs.umb.edu:443/academics/course_schedule/)
16:12:38	6060/6060	---M--	200	added ('OK')	image/jpeg	etag:%2217ac-54cfa95260279%22	https://www.cs.umb.edu:443/media/img/personnel/No_Photo_Available.jpg	/home/d/websites/UMBCS/www.cs.umb.edu_443/media/img/personnel/No_Photo_Available.jpg	(from https://www.cs.umb.edu:443/people/faculty/)
16:12:38	22508/22508	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20Dec%202019%2021:12:38%20GMT	https://www.cs.umb.edu:443/people/Shan_Jiang/	/home/d/websites/UMBCS/www.cs.umb.edu_443/people/Shan_Jiang/index.html	(from https://www.cs.umb.edu:443/academics/course_schedule/)
16:12:39	28782/28782	---M--	200	added ('OK')	image/jpeg	etag:%22706e-54cfa9526ae5a%22	https://www.cs.umb.edu:443/media/img/personnel/Alfred_Bird.jpg	/home/d/websites/UMBCS/www.cs.umb.edu_443/media/img/personnel/Alfred_Bird.jpg	(from https://www.cs.umb.edu:443/people/faculty/)
16:12:40	7260/7260	---M--	200	added ('OK')	image/jpeg	etag:%221c5c-54cfa9523df95%22	https://www.cs.umb.edu:443/media/img/personnel/Ethan_Bolker.jpg	/home/d/websites/UMBCS/www.cs.umb.edu_443/media/img/personnel/Ethan_Bolker.jpg	(from https://www.cs.umb.edu:443/people/faculty/)
16:12:40	21716/21716	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20Dec%202019%2021:12:40%20GMT	https://www.cs.umb.edu:443/people/Alfred_Bird/	/home/d/websites/UMBCS/www.cs.umb.edu_443/people/Alfred_Bird/index.html	(from https://www.cs.umb.edu:443/people/faculty/)
16:12:41	34615/34615	---M--	200	added ('OK')	image/jpeg	etag:%228737-54cfa95244cf6%22	https://www.cs.umb.edu:443/media/img/personnel/Bill_Campbell.jpg	/home/d/websites/UMBCS/www.cs.umb.edu_443/media/img/personnel/Bill_Campbell.jpg	(from https://www.cs.umb.edu:443/people/faculty/)
16:12:41	22467/22467	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20Dec%202019%2021:12:41%20GMT	https://www.cs.umb.edu:443/people/Ethan_Bolker/	/home/d/websites/UMBCS/www.cs.umb.edu_443/people/Ethan_Bolker/index.html	(from https://www.cs.umb.edu:443/people/faculty/)
16:12:42	33360/33360	---M--	200	added ('OK')	image/jpeg	etag:%228250-54cfa9523cff5%22	https://www.cs.umb.edu:443/media/img/personnel/Ron_Cheung.jpg	/home/d/websites/UMBCS/www.cs.umb.edu_443/media/img/personnel/Ron_Cheung.jpg	(from https://www.cs.umb.edu:443/people/faculty/)
16:12:42	22206/22206	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20Dec%202019%2021:12:42%20GMT	https://www.cs.umb.edu:443/people/Bill_Campbell/	/home/d/websites/UMBCS/www.cs.umb.edu_443/people/Bill_Campbell/index.html	(from https://www.cs.umb.edu:443/people/faculty/)
16:12:43	19863/19863	---M--	200	added ('OK')	image/jpeg	etag:%224d97-5765693ca5d27%22	https://www.cs.umb.edu:443/media/img/personnel/Tiago_Cogumbreiro.jpg	/home/d/websites/UMBCS/www.cs.umb.edu_443/media/img/personnel/Tiago_Cogumbreiro.jpg	(from https://www.cs.umb.edu:443/people/faculty/)
16:12:44	11189/11189	---M--	200	added ('OK')	image/jpeg	etag:%222bb5-54cfa9523ef35%22	https://www.cs.umb.edu:443/media/img/personnel/Wei_Ding.jpg	/home/d/websites/UMBCS/www.cs.umb.edu_443/media/img/personnel/Wei_Ding.jpg	(from https://www.cs.umb.edu:443/people/faculty/)
16:12:45	17561/17561	---M--	200	added ('OK')	image/jpeg	etag:%224499-58bd90ca47b34%22	https://www.cs.umb.edu:443/media/img/personnel/Funda_Durupinar.jpg	/home/d/websites/UMBCS/www.cs.umb.edu_443/media/img/personnel/Funda_Durupinar.jpg	(from https://www.cs.umb.edu:443/people/faculty/)
16:12:46	34736/34736	---M--	200	added ('OK')	image/jpeg	etag:%2287b0-54cfa95269eba%22	https://www.cs.umb.edu:443/media/img/personnel/Peter_Fejer.jpg	/home/d/websites/UMBCS/www.cs.umb.edu_443/media/img/personnel/Peter_Fejer.jpg	(from https://www.cs.umb.edu:443/people/faculty/)
16:12:48	10993/10993	---M--	200	added ('OK')	image/jpeg	etag:%222af1-54cfa9526bdfa%22	https://www.cs.umb.edu:443/media/img/personnel/Kenneth_K_Fletcher.jpg	/home/d/websites/UMBCS/www.cs.umb.edu_443/media/img/personnel/Kenneth_K_Fletcher.jpg	(from https://www.cs.umb.edu:443/people/faculty/)
16:12:48	26955/26955	---M--	200	added ('OK')	image/jpeg	etag:%22694b-54cfa9524c9f6%22	https://www.cs.umb.edu:443/media/img/personnel/Gabriel_Ghinita.jpg	/home/d/websites/UMBCS/www.cs.umb.edu_443/media/img/personnel/Gabriel_Ghinita.jpg	(from https://www.cs.umb.edu:443/people/faculty/)
16:12:48	22701/22701	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20Dec%202019%2021:12:48%20GMT	https://www.cs.umb.edu:443/people/Peter_Fejer/	/home/d/websites/UMBCS/www.cs.umb.edu_443/people/Peter_Fejer/index.html	(from https://www.cs.umb.edu:443/people/faculty/)
16:12:49	13288/13288	---M--	200	added ('OK')	image/jpeg	etag:%2233e8-54cfa9524ba56%22	https://www.cs.umb.edu:443/media/img/personnel/Colin_Godgrey.jpg	/home/d/websites/UMBCS/www.cs.umb.edu_443/media/img/personnel/Colin_Godgrey.jpg	(from https://www.cs.umb.edu:443/people/faculty/)
16:12:50	13434/13434	---M--	200	added ('OK')	image/jpeg	etag:%22347a-58bd9116e98b4%22	https://www.cs.umb.edu:443/media/img/personnel/Daniel_Haehn.jpg	/home/d/websites/UMBCS/www.cs.umb.edu_443/media/img/personnel/Daniel_Haehn.jpg	(from https://www.cs.umb.edu:443/people/faculty/)
16:12:50	22071/22071	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20Dec%202019%2021:12:50%20GMT	https://www.cs.umb.edu:443/people/Colin_Godfrey/	/home/d/websites/UMBCS/www.cs.umb.edu_443/people/Colin_Godfrey/index.html	(from https://www.cs.umb.edu:443/people/faculty/)
16:12:51	6100/6100	---M--	200	added ('OK')	image/jpeg	etag:%2217d4-54cfa9523ef35%22	https://www.cs.umb.edu:443/media/img/personnel/Nurit_Haspel.jpg	/home/d/websites/UMBCS/www.cs.umb.edu_443/media/img/personnel/Nurit_Haspel.jpg	(from https://www.cs.umb.edu:443/people/faculty/)
16:12:52	41780/41780	---M--	200	added ('OK')	image/jpeg	etag:%22a334-54cfa95245c96%22	https://www.cs.umb.edu:443/media/img/personnel/Glenn_Hoffman.jpg	/home/d/websites/UMBCS/www.cs.umb.edu_443/media/img/personnel/Glenn_Hoffman.jpg	(from https://www.cs.umb.edu:443/people/faculty/)
16:12:53	35171/35171	---M--	200	added ('OK')	image/jpeg	etag:%228963-54cfa952575d8%22	https://www.cs.umb.edu:443/media/img/personnel/swami.jpg	/home/d/websites/UMBCS/www.cs.umb.edu_443/media/img/personnel/swami.jpg	(from https://www.cs.umb.edu:443/people/faculty/)
16:12:54	27827/27827	---M--	200	added ('OK')	image/jpeg	etag:%226cb3-54cfa9527c79c%22	https://www.cs.umb.edu:443/media/img/personnel/Xiaohui_Liang.jpg	/home/d/websites/UMBCS/www.cs.umb.edu_443/media/img/personnel/Xiaohui_Liang.jpg	(from https://www.cs.umb.edu:443/people/faculty/)
16:12:55	5125/5125	---M--	200	added ('OK')	image/jpeg	etag:%221405-54cfa95258578%22	https://www.cs.umb.edu:443/media/img/personnel/Joan_Lukas.jpg	/home/d/websites/UMBCS/www.cs.umb.edu_443/media/img/personnel/Joan_Lukas.jpg	(from https://www.cs.umb.edu:443/people/faculty/)
16:12:57	22468/22468	---M--	200	added ('OK')	image/jpeg	etag:%2257c4-54cfa9527c79c%22	https://www.cs.umb.edu:443/media/img/personnel/Robert_Morris.jpg	/home/d/websites/UMBCS/www.cs.umb.edu_443/media/img/personnel/Robert_Morris.jpg	(from https://www.cs.umb.edu:443/people/faculty/)
16:12:57	6175/6175	---M--	200	added ('OK')	image/jpeg	etag:%22181f-54cfa9524ba56%22	https://www.cs.umb.edu:443/media/img/personnel/Elizabeth_ONeil.jpg	/home/d/websites/UMBCS/www.cs.umb.edu_443/media/img/personnel/Elizabeth_ONeil.jpg	(from https://www.cs.umb.edu:443/people/faculty/)
16:12:58	21734/21734	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20Dec%202019%2021:12:58%20GMT	https://www.cs.umb.edu:443/people/George_Lukas/	/home/d/websites/UMBCS/www.cs.umb.edu_443/people/George_Lukas/index.html	(from https://www.cs.umb.edu:443/people/faculty/)
16:12:58	22042/22042	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20Dec%202019%2021:12:58%20GMT	https://www.cs.umb.edu:443/people/Joan_Lukas/	/home/d/websites/UMBCS/www.cs.umb.edu_443/people/Joan_Lukas/index.html	(from https://www.cs.umb.edu:443/people/faculty/)
16:12:58	22453/22453	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20Dec%202019%2021:12:58%20GMT	https://www.cs.umb.edu:443/people/Robert_Morris/	/home/d/websites/UMBCS/www.cs.umb.edu_443/people/Robert_Morris/index.html	(from https://www.cs.umb.edu:443/people/faculty/)
16:12:58	22017/22017	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20Dec%202019%2021:12:58%20GMT	https://www.cs.umb.edu:443/people/Kenneth_Newman/	/home/d/websites/UMBCS/www.cs.umb.edu_443/people/Kenneth_Newman/index.html	(from https://www.cs.umb.edu:443/people/faculty/)
16:12:59	4275/4275	---M--	200	added ('OK')	image/jpeg	etag:%2210b3-54cfa9527c79c%22	https://www.cs.umb.edu:443/media/img/personnel/Patrick_ONeil.jpg	/home/d/websites/UMBCS/www.cs.umb.edu_443/media/img/personnel/Patrick_ONeil.jpg	(from https://www.cs.umb.edu:443/people/faculty/)
16:13:00	6484/6484	---M--	200	added ('OK')	image/jpeg	etag:%221954-54cfa9523cff5%22	https://www.cs.umb.edu:443/media/img/personnel/Carl_Offner.jpg	/home/d/websites/UMBCS/www.cs.umb.edu_443/media/img/personnel/Carl_Offner.jpg	(from https://www.cs.umb.edu:443/people/faculty/)
16:13:00	22426/22426	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20Dec%202019%2021:13:00%20GMT	https://www.cs.umb.edu:443/people/Patrick_O'Neil/	/home/d/websites/UMBCS/www.cs.umb.edu_443/people/Patrick_O'Neil/index.html	(from https://www.cs.umb.edu:443/people/faculty/)
16:13:01	20160/20160	---M--	200	added ('OK')	image/jpeg	etag:%224ec0-54cfa95246c36%22	https://www.cs.umb.edu:443/media/img/personnel/Ming_Ouyang.jpg	/home/d/websites/UMBCS/www.cs.umb.edu_443/media/img/personnel/Ming_Ouyang.jpg	(from https://www.cs.umb.edu:443/people/faculty/)
16:13:02	34285/34285	---M--	200	added ('OK')	image/jpeg	etag:%2285ed-54cfa9524d997%22	https://www.cs.umb.edu:443/media/img/personnel/Marc_Pomplun.jpg	/home/d/websites/UMBCS/www.cs.umb.edu_443/media/img/personnel/Marc_Pomplun.jpg	(from https://www.cs.umb.edu:443/people/faculty/)
16:13:03	72036/72036	---M--	200	added ('OK')	image/png	etag:%2211964-54cfa95266039%22	https://www.cs.umb.edu:443/media/img/personnel/Amanda_Potasznik.png	/home/d/websites/UMBCS/www.cs.umb.edu_443/media/img/personnel/Amanda_Potasznik.png	(from https://www.cs.umb.edu:443/people/faculty/)
16:13:04	20670/20670	---M--	200	added ('OK')	image/jpeg	etag:%2250be-54cfa9524ba56%22	https://www.cs.umb.edu:443/media/img/personnel/Matthew_Schneps.jpg	/home/d/websites/UMBCS/www.cs.umb.edu_443/media/img/personnel/Matthew_Schneps.jpg	(from https://www.cs.umb.edu:443/people/faculty/)
16:13:05	26535/26535	---M--	200	added ('OK')	image/jpeg	etag:%2267a7-54cfa9523df95%22	https://www.cs.umb.edu:443/media/img/personnel/Bo_Sheng.jpg	/home/d/websites/UMBCS/www.cs.umb.edu_443/media/img/personnel/Bo_Sheng.jpg	(from https://www.cs.umb.edu:443/people/faculty/)
16:13:06	8120/8120	---M--	200	added ('OK')	image/jpeg	etag:%221fb8-54cfa9526bdfa%22	https://www.cs.umb.edu:443/media/img/personnel/Dan_Simovici.jpg	/home/d/websites/UMBCS/www.cs.umb.edu_443/media/img/personnel/Dan_Simovici.jpg	(from https://www.cs.umb.edu:443/people/faculty/)
16:13:06	22416/22416	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20Dec%202019%2021:13:06%20GMT	https://www.cs.umb.edu:443/people/Matthew_Schneps/	/home/d/websites/UMBCS/www.cs.umb.edu_443/people/Matthew_Schneps/index.html	(from https://www.cs.umb.edu:443/people/faculty/)
16:13:07	14922/14922	---M--	200	added ('OK')	image/jpeg	etag:%223a4a-5715b403c4d42%22	https://www.cs.umb.edu:443/media/img/personnel/Torna_Omar_Soro.jpg	/home/d/websites/UMBCS/www.cs.umb.edu_443/media/img/personnel/Torna_Omar_Soro.jpg	(from https://www.cs.umb.edu:443/people/faculty/)
16:13:08	4660/4660	---M--	200	added ('OK')	image/jpeg	etag:%221234-54cfa9523fed5%22	https://www.cs.umb.edu:443/media/img/personnel/Jun_Suzuki.jpg	/home/d/websites/UMBCS/www.cs.umb.edu_443/media/img/personnel/Jun_Suzuki.jpg	(from https://www.cs.umb.edu:443/people/faculty/)
16:13:09	5210/5210	---M--	200	added ('OK')	image/jpeg	etag:%22145a-54cfa9524d997%22	https://www.cs.umb.edu:443/media/img/personnel/Richard_Tenney.jpg	/home/d/websites/UMBCS/www.cs.umb.edu_443/media/img/personnel/Richard_Tenney.jpg	(from https://www.cs.umb.edu:443/people/faculty/)
16:13:10	25280/25280	---M--	200	added ('OK')	image/jpeg	etag:%2262c0-54cfa9524e937%22	https://www.cs.umb.edu:443/media/img/personnel/Duc_Tran.jpg	/home/d/websites/UMBCS/www.cs.umb.edu_443/media/img/personnel/Duc_Tran.jpg	(from https://www.cs.umb.edu:443/people/faculty/)
16:13:10	22422/22422	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20Dec%202019%2021:13:10%20GMT	https://www.cs.umb.edu:443/people/Richard_Tenney/	/home/d/websites/UMBCS/www.cs.umb.edu_443/people/Richard_Tenney/index.html	(from https://www.cs.umb.edu:443/people/faculty/)
16:13:11	4119/4119	---M--	200	added ('OK')	image/jpeg	etag:%221017-54cfa9523fed5%22	https://www.cs.umb.edu:443/media/img/personnel/Robert_Wilson.jpg	/home/d/websites/UMBCS/www.cs.umb.edu_443/media/img/personnel/Robert_Wilson.jpg	(from https://www.cs.umb.edu:443/people/faculty/)
16:13:12	3785/3785	---M--	200	added ('OK')	image/jpeg	etag:%22ec9-54cfa95265099%22	https://www.cs.umb.edu:443/media/img/personnel/William_Perry.jpg	/home/d/websites/UMBCS/www.cs.umb.edu_443/media/img/personnel/William_Perry.jpg	(from https://www.cs.umb.edu:443/people/staff/)
16:13:12	21718/21718	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20Dec%202019%2021:13:12%20GMT	https://www.cs.umb.edu:443/people/Zaihan_Yang/	/home/d/websites/UMBCS/www.cs.umb.edu_443/people/Zaihan_Yang/index.html	(from https://www.cs.umb.edu:443/people/faculty/)
16:13:12	22437/22437	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20Dec%202019%2021:13:12%20GMT	https://www.cs.umb.edu:443/people/Robert_Wilson/	/home/d/websites/UMBCS/www.cs.umb.edu_443/people/Robert_Wilson/index.html	(from https://www.cs.umb.edu:443/people/faculty/)
16:13:13	22258/22258	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20Dec%202019%2021:13:13%20GMT	https://www.cs.umb.edu:443/people/Leonard_David/	/home/d/websites/UMBCS/www.cs.umb.edu_443/people/Leonard_David/index.html	(from https://www.cs.umb.edu:443/people/staff/)
